NOMBRE,ID_PERSONA,EDAD,CAMARA_COMERCIO,SUPERINTENDENCIA_TURISMO,MIEMBRO_COMUNIDAD
ErnestDallas,380,82,T,F,T
WebsterSumner,381,53,F,T,F
DickMicheal,382,52,F,F,T
DanaCash,383,88,T,T,F
BriceCarlos,384,43,T,T,T
DellNed,385,24,T,T,F
FernandoWinfield,386,55,T,F,T
EvanHector,387,64,F,T,T
ReeseSterling,388,77,F,T,T
JessieLudwig,389,60,F,F,F
SarahEssex,390,65,T,T,T
LenardClare,391,78,T,T,T
JacobAmos,392,63,F,T,T
OrrinMorton,393,54,F,T,T
WmDock,394,89,F,T,T
ThomasNeal,395,34,T,F,T
JordanFayette,396,86,F,T,T
MartinNorman,397,33,F,T,F
BurlBirt,398,47,F,F,T
JordanAnthony,399,27,T,F,T
PinkneyOrval,400,53,F,F,T
LemonLonie,401,55,F,F,F
GilbertMillard,402,24,F,T,T
DocGlover,403,75,T,T,T
StephenNorbert,404,43,T,T,T
HoytMalcolm,405,77,F,T,F
ManuelErastus,406,77,F,T,T
OrrinMerrill,407,56,T,T,F
BertramLincoln,408,23,T,T,F
WongLou,409,49,T,T,F
IsaacAlvis,410,45,T,F,T
JuniusAlvie,411,56,F,F,F
LonnieJonathan,412,35,T,T,T
LuisOwen,413,18,T,T,T
ElexJerome,414,83,F,F,F
CasimerJeremiah,415,96,F,T,F
WilfridBurnie,416,74,F,F,T
ArthurTimothy,417,51,T,T,F
OdisBuford,418,38,F,F,F
AbnerHorace,419,95,T,T,F
JosephBlake,420,66,T,F,T
MatthewNoah,421,45,F,T,T
AustinLionel,422,72,T,F,F
AntoneTobe,423,38,T,F,F
MerrillIra,424,47,T,T,F
ErnestManly,425,85,T,F,T
RaymondDelmar,426,90,T,F,T
EarlyFranz,427,69,T,T,T
WoodieEugene,428,46,F,T,F
ElishaTony,429,77,T,F,T
ElliotBlair,430,92,F,F,F
GroverRobert,431,37,T,T,F
GeraldJerry,432,54,F,T,T
CarlosAugustine,433,22,F,T,T
LarryBurl,434,52,F,F,F
FayJules,435,52,F,F,F
ErnstNolan,436,59,T,F,T
ColonelBertram,437,29,T,T,T
ArchFrench,438,83,F,T,T
MattAdolf,439,37,F,T,T
HenryGiles,440,55,F,F,T
PressVergil,441,63,F,F,T
CoraAubrey,442,41,T,F,F
BernardBee,443,18,F,F,F
JimBernice,444,78,T,T,F
ElishaClaud,445,68,T,T,F
HumphreyEmery,446,44,T,F,T
SpencerDavie,447,34,F,T,F
ElwoodHarry,448,61,F,F,T
PatBenjamin,449,79,F,F,F
TylerEzra,450,56,T,T,F
GeraldNat,451,82,T,T,T
NeilGlenn,452,95,T,F,F
WylieToney,453,67,F,T,T
OllieFreeman,454,18,T,T,F
FlemingEmmitt,455,67,F,T,F
GardnerArch,456,64,F,F,F
PercyEnrique,457,49,T,F,T
SteveLemon,458,89,T,T,F
JessSantiago,459,40,T,T,T
MarieAlfonso,460,89,F,T,F
LincolnArthur,461,39,T,F,T
BudClint,462,64,F,T,F
OtisFredric,463,48,F,T,T
BenIsidor,464,60,T,T,F
VivianBryant,465,61,T,F,F
ClayLouis,466,72,T,F,F
AlbinRoland,467,20,F,F,T
WilliamElroy,468,29,F,F,T
OdieFelix,469,40,T,F,F
JodieLinwood,470,25,T,T,F
WilsonWarren,471,60,F,F,F
WilliamAlford,472,65,F,F,T
OrrieBartley,473,93,F,T,F
ZackFredrick,474,44,F,F,T
RamonEnos,475,29,F,F,F
MilesUriah,476,88,T,F,F
JonnieBert,477,26,F,F,F
WardLudwig,478,63,T,F,T
MyronEinar,479,81,T,F,F
GastonBarton,480,64,F,F,F
KurtEzekiel,481,92,F,F,F
BascomRay,482,34,F,F,T
NatPascal,483,25,T,T,F
OraOlin,484,18,T,F,T
WilliamJules,485,82,T,F,T
BaxterBuster,486,54,F,T,F
ThaddeusMike,487,82,F,F,T
DocClifton,488,21,F,F,T
JoeCamille,489,44,T,F,F
HaydenHuey,490,50,F,T,F
DanielAsbury,491,96,F,T,T
ElroyManford,492,22,T,F,F
BerthaArley,493,61,T,F,T
LarryButler,494,51,T,F,F
EllisBerry,495,73,T,F,F
CarltonRussell,496,72,F,F,F
SydneyCharles,497,22,T,T,F
TolbertDean,498,81,T,F,F
EmmittPablo,499,75,F,T,T
CalhounAaron,500,95,T,T,F
HoraceGerhard,501,25,F,F,T
OcieTruman,502,38,T,F,T
DuncanDell,503,49,F,F,T
DickEssie,504,83,F,T,T
NorrisColumbus,505,37,T,T,F
ElmoVance,506,44,T,F,F
CollieCleo,507,35,F,F,T
ErleClara,508,82,T,T,T
BascomBessie,509,34,T,F,F
DuncanLove,510,60,F,F,T
ElzaAdrian,511,95,F,T,F
ElsieDavis,512,81,T,T,F
PleasantAlice,513,65,T,F,T
TheodoreAnna,514,94,F,F,T
HunterClement,515,37,F,T,T
LaurenceWalker,516,53,T,T,F
ButlerRush,517,59,T,F,F
BossMorris,518,41,T,T,T
AgnesBruno,519,90,F,F,T
MahlonBarry,520,33,T,F,F
OmerJackson,521,45,T,T,T
OralLafayette,522,25,T,F,T
PrinceHollis,523,54,T,T,T
OrsonOliver,524,26,F,T,F
WaldoBarney,525,48,F,T,F
LonieRupert,526,83,F,F,T
JimClair,527,91,F,T,T
SeymourLinn,528,50,F,F,T
LemonAron,529,92,F,T,T
ArtherClarance,530,18,F,T,F
AbrahamEmmett,531,68,F,F,T
SquireCleo,532,81,T,F,F
MerleRuben,533,52,T,T,F
JepMathew,534,83,T,F,T
TroyRoy,535,58,F,F,F
WillieJudge,536,77,F,T,F
LeslieEarle,537,35,F,F,F
EmeryCalvin,538,22,F,T,F
MorganLester,539,45,T,T,T
JasperDean,540,77,T,T,F
PhilipCalvin,541,76,T,F,T
RollandRufus,542,86,T,F,T
PrimusClare,543,65,F,T,T
ForrestAlton,544,24,T,T,T
LutherBaxter,545,96,T,T,T
CliffChester,546,83,F,T,T
OwenGreen,547,76,F,F,T
LawsonYee,548,49,T,F,T
EphraimRoger,549,21,T,T,F
CalvinEthel,550,93,T,T,T
JudsonAlonza,551,65,F,T,F
ClevelandJason,552,34,T,T,T
RollaHarmon,553,19,T,F,F
DrewRandall,554,53,T,T,F
AlvinMyrtle,555,50,F,T,F
JoesphTed,556,31,T,F,F
MonteElvin,557,56,F,T,T
IgnacioStewart,558,54,F,T,T
EvertElwin,559,38,T,F,F
AronHampton,560,60,F,F,F
PhillipAl,561,24,F,T,T
ShelbyFrank,562,51,T,F,F
ElvaLonie,563,23,F,T,T
WilmerAugustine,564,98,F,F,F
GerardGuthrie,565,85,F,F,F
GussSeth,566,98,F,F,T
SimDallas,567,60,T,F,T
AndresBarney,568,96,T,F,F
CommodorePhil,569,57,T,F,T
EricEmerson,570,95,T,F,T
OttoParis,571,86,F,T,T
MortonWilber,572,48,T,T,T
IvanCloyd,573,46,T,F,T
ScottMinor,574,86,T,F,T
PhillipHenderson,575,66,F,T,T
GlennTheron,576,41,F,T,F
HymanMinnie,577,30,T,T,T
AnsonClem,578,18,F,F,T
TracyRoger,579,67,T,T,T
BradyAxel,580,89,T,F,F
AldenColonel,581,33,F,F,T
TedJohn,582,20,T,F,F
AlfonsoHershel,583,92,T,T,T
DuncanEvan,584,42,T,F,T
EnnisEllie,585,85,F,F,F
JonathanNicholas,586,90,F,T,F
ClarenceJimmie,587,33,F,T,F
EdgarVan,588,74,F,F,F
ColemanTheadore,589,92,T,F,T
LeeCary,590,54,T,T,F
MarionClem,591,96,T,F,F
PowellLon,592,77,F,T,F
BriceAl,593,29,T,T,F
LaverneFrench,594,33,T,T,T
JoelWilford,595,75,T,F,F
FreemanBonnie,596,63,T,T,F
HerschelJoshua,597,36,F,F,F
ReubenAaron,598,75,F,T,T
EnochOllie,599,99,T,F,F
OtisOpal,600,49,T,F,F
IrvingWalker,601,32,T,F,F
WillisWesley,602,89,T,F,T
IsidoreJasper,603,62,F,T,F
DuncanAsa,604,86,F,F,T
WinstonLinzy,605,73,T,F,T
MerleBlaine,606,44,T,T,F
HoseaAdolph,607,37,T,F,F
NicholasElroy,608,44,F,T,F
HamptonBarney,609,60,T,T,T
BaxterEarnest,610,96,T,F,F
SimonVirgil,611,23,T,F,F
SmithOrvis,612,70,F,T,T
AlphonsusHallie,613,79,F,T,F
WallaceEssex,614,99,F,T,T
RossieWash,615,32,F,F,F
BertJerome,616,30,T,T,T
JosephRoby,617,49,F,T,T
ReidColey,618,41,F,T,T
BasilArden,619,56,T,T,F
SebastianArt,620,94,T,T,F
EvanLuther,621,52,T,F,F
PeteIrving,622,25,F,T,F
AdaRoss,623,89,T,T,F
RossieAnnie,624,85,F,T,T
ManfordOttis,625,75,T,T,T
BirdAllie,626,48,F,T,T
GerhardElmo,627,54,F,T,T
JosiahTony,628,53,F,T,F
NewtonShelton,629,57,F,T,F
FrankCassius,630,64,T,F,F
ArchLem,631,66,F,F,T
BentonDee,632,42,T,T,T
TimothyHector,633,39,F,T,F
LonHobart,634,67,F,T,F
JakeSullivan,635,89,F,F,T
OcieRose,636,26,T,T,T
FrancesOrin,637,97,T,F,F
MckinleyNeal,638,23,T,F,T
SilasAbner,639,60,T,T,T
EldridgeOtis,640,30,F,T,T
EmoryMerrill,641,26,T,F,T
EthelAubrey,642,69,F,T,T
EzraAugustine,643,76,T,T,T
ButlerEmmett,644,30,T,T,F
PabloOlen,645,33,T,F,T
EllaEdmund,646,91,F,F,F
HomerJennie,647,74,T,F,F
ThomasBurton,648,80,F,F,F
TerrenceAdolph,649,97,T,F,T
NewtonWinfield,650,92,T,F,T
WmEdward,651,31,F,F,F
AdamClarance,652,84,F,F,F
RichmondShelley,653,97,T,T,F
IdaEmmit,654,34,F,F,T
ClintonNewell,655,55,F,F,T
EdwardAlford,656,48,F,F,F
BurleyNolan,657,45,F,T,F
JudgeJustin,658,29,F,T,F
TedMarcus,659,67,T,T,F
WmHollis,660,95,F,F,F
AlvahWilliams,661,26,T,F,F
LuisJohnie,662,88,T,T,F
LucianSidney,663,43,F,F,F
HubbardGeo,664,57,T,F,F
FateEllis,665,67,T,F,T
SaulBenedict,666,81,F,F,F
BernieJunious,667,19,F,F,F
LawyerSalvatore,668,88,T,T,T
WashingtonWillam,669,23,T,F,T
HomerLarkin,670,86,T,T,F
WellsMilo,671,92,F,T,F
IgnatiusIsaac,672,80,F,T,T
WinnieCaleb,673,85,F,T,T
DelbertWoodie,674,29,F,T,T
TillmanFinis,675,54,F,T,F
ByrdFitzhugh,676,76,F,F,F
ElmoreLuis,677,28,F,F,F
DennisJackson,678,92,T,T,T
AlvahTobias,679,44,T,T,F
JeremiahBee,680,73,F,T,T
DaveWillam,681,35,F,F,F
ElvinEarl,682,24,T,T,F
AlGladstone,683,83,F,T,F
ElroyAlice,684,60,T,F,F
WillyIva,685,52,F,T,F
JimAntonio,686,97,T,T,F
PabloCharley,687,54,T,T,T
AlfonzoWeldon,688,37,T,F,T
LorenRalph,689,78,F,T,F
OwenAron,690,69,F,F,T
FrancesDavid,691,54,T,F,F
LawtonRolla,692,72,T,T,T
LoyElige,693,37,T,T,T
IsomCecil,694,56,T,T,T
AutherMiller,695,94,T,T,F
PeteOla,696,60,T,F,F
BrunoEldridge,697,71,T,T,F
LemWilbur,698,41,T,F,T
LlewellynOllie,699,30,T,T,T
SheldonAddison,700,29,F,T,F
GoldenClem,701,52,F,T,T
OrangeAbraham,702,37,T,F,T
AbramTroy,703,22,F,F,F
LeviTravis,704,82,F,T,F
JuniorClarance,705,20,T,T,F
MartinHarrison,706,71,T,F,T
CephusDoctor,707,41,F,F,T
SimpsonClovis,708,53,F,F,F
PhillipAbel,709,60,F,T,T
EdwardMaxwell,710,99,F,F,T
DillardChristopher,711,62,T,F,T
MauriceHardin,712,80,F,T,F
LorenzoHaywood,713,79,F,F,T
EdnaArtie,714,20,F,F,F
ElroyGrant,715,75,T,F,T
LouisCary,716,30,F,T,T
DanaEzekiel,717,89,F,F,F
OrionMoses,718,59,T,F,F
MiltonErnest,719,46,F,T,T
MarshallRoy,720,91,F,F,F
CullenNathaniel,721,60,T,F,T
LacyPierce,722,74,T,F,T
MurlHamilton,723,86,F,F,T
CaryRay,724,37,T,T,T
HubertEmanuel,725,67,F,T,F
BurtonCleve,726,54,F,T,F
GussIvory,727,76,F,T,T
HalAugustus,728,99,F,T,T
CorneliousOakley,729,30,T,F,F
GreeneStanley,730,51,F,F,F
VincentBethel,731,83,T,T,F
JasonDayton,732,93,T,T,T
RollieEstel,733,85,F,T,T
CliffValentine,734,24,T,T,F
GaleHunter,735,25,F,F,T
BillyEnos,736,69,F,F,F
FurmanNorval,737,19,F,T,T
PabloDuncan,738,76,F,T,F
EmmitScott,739,56,T,T,T
DawsonIrving,740,82,T,T,F
GustavJake,741,88,T,T,F
RalphCal,742,42,F,F,T
BillieAlphonse,743,61,F,F,T
PatMonroe,744,31,T,F,F
SidAdolph,745,18,F,T,F
AddieJefferson,746,82,F,T,F
RodneyNewell,747,86,F,T,T
GilbertAlmond,748,82,T,F,T
JerrySidney,749,91,T,T,F
FerdWallace,750,55,T,T,F
ElizabethLaurie,751,55,F,T,T
LoranMargaret,752,92,T,F,T
BobHarold,753,94,T,F,F
JewellCoy,754,95,T,T,F
HoracePrince,755,19,F,F,T
StevenStuart,756,38,T,T,T
WilfredMaynard,757,69,F,T,T
JessArmand,758,92,F,F,T
OthaLuther,759,30,T,T,F
EmersonAnderson,760,83,T,F,F
IrwinFelix,761,68,T,F,T
KelleyBishop,762,65,F,F,T
StantonCarter,763,19,T,T,F
GreenEdwin,764,43,T,T,T
TomieCasey,765,27,F,T,T
AlvieCleveland,766,39,T,T,T
ButlerBarnard,767,26,T,T,T
MatthewClifford,768,60,T,F,F
JoseVolney,769,91,F,F,F
EllisVerne,770,43,T,F,T
ClarkMathew,771,85,F,T,F
OscarEssie,772,27,T,F,T
WilliamsAlf,773,83,F,F,F
LevyAlmon,774,49,F,F,F
ObedAlger,775,48,F,T,T
ReneManford,776,76,F,F,F
HoustonDale,777,26,F,F,T
FritzChristian,778,96,T,T,F
SampsonTommie,779,56,F,F,T
HoytFelix,780,91,T,F,T
ClintonAnna,781,92,T,T,T
ArnieHoward,782,33,T,T,F
PrenticeLuther,783,73,T,F,T
FranklinHarrison,784,27,T,F,T
ClaytonElisha,785,27,F,F,T
AngusSam,786,52,F,F,T
AnnaJens,787,56,F,F,F
ClevelandTaylor,788,22,F,F,T
HowellOscar,789,22,F,T,T
LeroyArmand,790,31,T,T,T
AbelDave,791,19,F,T,F
SammieArthur,792,31,T,T,T
AliceAlex,793,89,T,F,T
HarveyClinton,794,58,T,F,F
ThurmanSpencer,795,93,F,F,T
CraigRollin,796,18,T,F,T
JoelPasquale,797,31,T,T,F
ElihuLoyd,798,51,F,F,F
BenCarroll,799,36,T,T,T
NedLinn,800,67,F,F,F
WyattLoran,801,26,T,F,F
LeslieFrancisco,802,74,T,T,F
WatsonMose,803,62,F,T,T
BeverlyWebster,804,97,T,F,T
DoraElisha,805,69,T,T,F
ParkHouston,806,69,F,F,F
JoeJoesph,807,63,F,F,T
CourtneyAgnes,808,42,T,T,F
AloysiusDelbert,809,53,T,F,T
BuddyMadison,810,39,F,F,T
LonnieFurman,811,20,T,F,T
IgnatiusAlger,812,83,T,T,T
OttisRex,813,28,T,F,T
CorneliusSanders,814,41,T,T,T
ElzyJimmie,815,42,F,T,F
HaywardFremont,816,39,F,F,F
IdaAugustine,817,79,T,F,F
HeberMarlin,818,32,T,T,F
CliffMatt,819,85,F,F,F
HerschelPierre,820,40,F,F,T
HaroldLeo,821,70,F,T,F
SteveOliver,822,82,T,F,F
OrsonFleming,823,34,F,T,T
AmbroseHarris,824,54,T,T,F
WesleyIsidor,825,54,T,T,F
SamPercy,826,86,T,T,F
OrvilleLeland,827,27,T,F,T
WillisJunius,828,84,F,F,T
NathanLemon,829,39,F,T,T
LeviGerald,830,79,F,T,F
RupertLeonard,831,72,T,F,T
EwingShirley,832,96,T,T,F
ClarkZack,833,78,T,F,F
BrunoJohnie,834,36,F,T,F
NewmanOllie,835,36,F,F,F
JeffTomas,836,40,T,F,T
MasonHamp,837,82,F,F,T
IvoryMarcellus,838,74,F,T,T
OllieChristopher,839,35,T,T,T
GilbertGranville,840,79,F,F,T
JamesBurrell,841,94,F,F,T
DocJason,842,63,T,F,T
LemWilliam,843,39,T,F,T
LaurenceGeorge,844,85,F,F,T
BarryEllsworth,845,51,F,T,F
OleHenry,846,62,F,F,T
PierceVirgie,847,76,F,T,T
RayJodie,848,47,F,T,F
RollieNeal,849,92,T,F,T
AbieSantiago,850,25,F,T,T
AdolphusPercy,851,98,F,F,T
ElzaHilliard,852,35,T,F,T
EdwinElmer,853,34,T,F,T
EdnaAdelbert,854,83,F,T,T
DaveMaynard,855,65,F,T,F
MichealTed,856,54,T,F,F
TurnerEmmet,857,34,F,F,F
OttisButler,858,27,T,T,T
RolloWilburn,859,63,T,F,F
RossMelvin,860,47,T,T,T
MathewCarleton,861,36,F,T,F
OrlandoMack,862,33,F,F,F
WmDoc,863,39,T,F,F
AlphonseEarly,864,40,T,T,T
TrueDave,865,63,T,T,T
LorenzoPatrick,866,66,F,F,F
AddieAlmon,867,33,T,F,T
ChalmerBryan,868,63,T,F,T
AnselNeal,869,74,F,T,F
DavidCloyd,870,34,F,T,F
WilberLowell,871,35,T,T,T
BenjaminJulious,872,93,T,F,T
AxelAce,873,82,F,T,T
RansomBee,874,34,F,T,T
FinleyRuby,875,41,T,T,T
VesterDella,876,55,T,T,F
HowellGarnett,877,96,F,T,T
SimeonClifton,878,68,F,F,F
FrazierJames,879,78,T,T,F
RupertWayne,880,44,F,F,T
GodfreyErnest,881,57,T,F,T
ColinHoward,882,46,T,T,T
MonroeBartholomew,883,84,F,T,F
LeroyPinkney,884,19,T,T,T
ChalmerGlenn,885,71,F,T,F
SelmerPhilip,886,96,T,F,F
BertieEdd,887,98,T,F,T
CarmineCassius,888,72,F,T,F
EsauAron,889,99,T,F,T
OraOlen,890,49,F,F,T
EzekielGrove,891,44,T,F,T
SimonCrawford,892,43,F,F,T
GerhardEverett,893,42,T,F,T
LarkinGideon,894,23,T,T,T
FlemingUnknown,895,62,F,T,T
EwingPrince,896,87,F,T,T
GermanManford,897,28,T,F,T
JuleKelly,898,66,T,T,F
AlgieMannie,899,73,T,T,F
RileyVern,900,89,T,F,F
CorneliousPatrick,901,27,F,T,T
AltaFrancis,902,53,T,T,F
WilburnSanders,903,73,F,F,T
AhPat,904,66,T,T,T
MartinLillian,905,48,T,T,F
AxelGustave,906,22,T,T,T
LouiseColey,907,98,F,T,T
OrinLon,908,95,T,T,F
GeraldCicero,909,39,T,F,T
OrrinAlvin,910,89,F,T,F
MertonHilton,911,88,F,F,F
HosieClinton,912,67,T,F,F
HazenSumner,913,34,F,F,F
MaxKarl,914,70,F,F,T
AloysiusBurr,915,49,F,T,T
MaxieGibson,916,49,F,T,F
GabrielRoy,917,30,F,F,T
AustinCliff,918,24,F,F,T
LawsonNellie,919,22,T,T,T
BlaineAlexander,920,96,F,T,T
HobertWilbert,921,30,F,F,F
BartonFreeman,922,53,F,F,F
CalCoy,923,86,T,T,F
CamilleCarl,924,26,T,T,T
ThorntonDempsey,925,60,T,T,T
GregorioBenito,926,39,F,T,T
GusLora,927,19,T,T,T
DanialBradford,928,38,F,F,F
HarveyGordon,929,22,T,T,T
SethLemon,930,76,F,T,T
BradleyOmar,931,95,F,T,F
AbrahamHector,932,98,T,T,T
GarrettWalker,933,88,F,F,F
OrieStanley,934,36,F,T,F
RubinMarshall,935,70,T,F,F
TheronGustave,936,18,F,F,F
WashingtonJulius,937,26,F,F,T
MarcellusLarry,938,48,T,F,T
RollandJeremiah,939,35,T,T,F
MarvinWorth,940,98,T,T,T
WillieEdith,941,81,F,T,T
EmilElliott,942,83,T,T,T
AlphonsePhil,943,30,T,F,T
RuthWallace,944,65,F,F,F
WilberMillard,945,81,F,F,T
SterlingOswald,946,60,T,T,T
RodneyReed,947,58,T,F,F
SimonHyman,948,26,F,F,F
ChrisFleming,949,95,F,F,F
BufordJones,950,89,F,T,F
BascomRoger,951,75,F,F,F
LorenLonzo,952,95,F,T,T
GarnettCrawford,953,39,T,F,F
MaxieBruce,954,54,F,T,F
GriffinVan,955,19,F,F,T
HendersonGustaf,956,64,T,T,F
CampbellEnoch,957,28,T,T,F
DuncanMattie,958,51,T,F,T
DanialIsadore,959,84,F,T,F
RuebenTommie,960,61,F,F,T
JakeRoyal,961,98,F,F,F
BennyJoel,962,72,T,F,T
AllisonAvery,963,82,T,F,F
EdmundArthur,964,91,T,T,T
AlphaShelby,965,87,F,T,F
AuthurDavis,966,47,F,T,F
HubertIvan,967,92,T,F,T
MartinGene,968,55,T,T,T
AmbroseAlgie,969,68,T,F,T
AllisonHyrum,970,86,F,F,F
ClaranceAlbert,971,68,T,T,T
EarlyLevy,972,22,T,T,F
DaleAdelbert,973,87,F,F,T
JuniusDaniel,974,18,F,F,T
EvansEmmit,975,68,T,T,T
BrunoSeth,976,77,T,F,T
MurrayOrville,977,73,F,T,T
CharleySydney,978,89,T,F,T
ForestGeneral,979,47,T,F,F
ParkerErich,980,37,F,T,F
ArthurElijah,981,96,T,F,T
BossJunior,982,47,T,T,F
ReedJoel,983,39,T,F,T
DickWeaver,984,98,T,T,T
ElzaWm,985,84,F,F,T
ElmoreGale,986,65,F,F,T
RoderickEvan,987,23,T,F,T
LindseySammie,988,86,T,F,F
FlemPhil,989,89,F,T,T
WayneMilton,990,96,T,T,F
LutherOrie,991,28,F,T,F
SmithMonroe,992,22,T,T,F
OkeyBudd,993,75,F,F,T
HueyClifford,994,93,T,T,F
LeonardAuthor,995,27,F,F,F
AloisLogan,996,22,T,T,F
RubenEarly,997,32,T,F,T
ForrestAvery,998,40,F,T,F
ChristLemon,999,46,F,T,T
TommyWoodie,1000,68,T,T,T
ChalmerReuben,1001,67,F,F,T
LesterGrover,1002,80,F,F,F
BernhardJosh,1003,93,T,F,T
FrankGus,1004,27,F,T,T
ToddMalcolm,1005,79,F,T,T
BerrySteve,1006,26,T,F,T
WaltonHarlow,1007,51,T,T,F
LoganArt,1008,48,T,T,T
GrahamMonroe,1009,24,F,F,F
StewartLittle,1010,72,F,T,F
AllenIrvin,1011,75,T,T,F
EdwardCarlton,1012,54,F,T,T
BurrHudson,1013,54,F,F,F
TurnerTobe,1014,59,T,F,T
ChesterAlfonso,1015,44,F,F,T
ArtieHosea,1016,66,F,F,T
AloysiusObie,1017,82,F,F,F
LeonardBen,1018,35,T,T,F
LoveJunior,1019,31,T,F,F
AutherFoster,1020,39,F,F,F
EvaRose,1021,93,F,T,T
WinfieldBrooks,1022,46,F,T,T
HowardChauncey,1023,38,F,T,T
LucienEly,1024,28,T,F,F
AliceHazel,1025,75,F,F,F
HarryDavid,1026,18,T,F,F
JackSilvester,1027,89,F,T,F
HubertBessie,1028,54,T,F,F
PrestonEnrique,1029,56,F,T,T
AbnerWilburn,1030,89,T,F,T
WillisJason,1031,56,F,T,F
AlphonsusMargaret,1032,42,T,T,F
EllsworthAuthur,1033,28,F,F,F
OdieArt,1034,36,T,T,T
ObieWalker,1035,89,T,F,F
LafeRoscoe,1036,28,T,T,T
LorenAlmon,1037,68,T,F,T
IvoryDoc,1038,53,F,F,F
RexFrances,1039,50,T,T,F
FrederickHenry,1040,21,F,F,F
JulianJason,1041,80,F,T,T
IkeOswald,1042,64,T,F,T
BessieIra,1043,27,T,T,T
OleHorace,1044,70,F,T,T
AustinNoble,1045,99,T,F,F
AddieFoy,1046,62,T,T,F
BrooksCarey,1047,23,T,F,F
LeroyWilton,1048,58,T,T,F
BurtonErnest,1049,35,F,T,T
FateVan,1050,51,T,T,T
RamonPercival,1051,91,F,T,F
DenisJimmie,1052,48,F,F,T
PleasantBertie,1053,61,T,T,T
ZollieMerton,1054,86,F,F,T
RusselSylvester,1055,71,F,T,F
PrestonNewman,1056,44,T,T,F
LuisStanley,1057,48,F,T,T
ArthurGlenn,1058,74,F,T,F
AbramJames,1059,84,F,F,F
NatAron,1060,86,F,T,T
BertieHomer,1061,55,F,T,T
JuliousDean,1062,30,T,T,T
GroveWilbur,1063,30,T,F,F
LenardOakley,1064,73,T,F,T
PhilipJay,1065,98,T,F,T
GordonJohnson,1066,70,F,F,T
KingAmos,1067,46,F,T,T
WarrenMaurice,1068,86,T,F,T
CarmenLarkin,1069,97,T,F,F
HardyLorenzo,1070,55,T,T,F
RussellDonald,1071,64,T,F,T
NelsDominic,1072,58,F,T,F
JuneAsa,1073,28,F,F,T
EddAntonio,1074,66,F,F,F
DwightBertram,1075,22,F,T,F
CoraBrent,1076,98,T,F,T
EdmundAlford,1077,51,F,F,F
ArlieEphriam,1078,29,T,F,F
RandallTrue,1079,43,F,F,F
EldridgeCornelious,1080,32,F,T,T
HaydenJoe,1081,72,F,T,F
TedThornton,1082,30,F,F,F
TrumanEli,1083,51,F,T,T
ClevelandWatson,1084,97,T,T,F
WrightElwood,1085,74,T,F,F
HarlanMyron,1086,43,T,T,F
LigeSaul,1087,35,F,F,T
BurtonConrad,1088,56,T,T,F
TommyNelson,1089,33,F,T,F
BillieDelbert,1090,88,F,F,F
AbramMerritt,1091,46,F,F,T
RossJay,1092,20,T,T,F
